model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,5,,80,1.0,,"[0.0458, 0.0012]","[0.0075, 0.0002]","[0.0063, 0.0002]","[0.0056, 0.0001]","[0.0098, 0.0004]","[0.0037, 0.0001]","[0.0152, 0.0009]","[0.0482, 0.0016]","[0.0601, 0.0018]","[0.0704, 0.0019]","[0.0319, 0.0013]","[0.1118, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,3,,80,1.0,,"[0.0457, 0.0012]","[0.0073, 0.0002]","[0.0062, 0.0002]","[0.0055, 0.0001]","[0.0096, 0.0004]","[0.0036, 0.0001]","[0.0155, 0.0009]","[0.0474, 0.0016]","[0.0596, 0.0018]","[0.0698, 0.0019]","[0.0318, 0.0013]","[0.1113, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,5,,80,1.0,,"[0.0468, 0.0012]","[0.0077, 0.0002]","[0.0066, 0.0002]","[0.0058, 0.0001]","[0.0099, 0.0004]","[0.0038, 0.0001]","[0.0155, 0.0009]","[0.0499, 0.0016]","[0.0626, 0.0018]","[0.0732, 0.002]","[0.0327, 0.0013]","[0.1143, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,5e-05,1,,60,1.0,,"[0.0429, 0.0011]","[0.0069, 0.0002]","[0.0058, 0.0002]","[0.0052, 0.0001]","[0.0093, 0.0004]","[0.0035, 0.0001]","[0.0144, 0.0009]","[0.0431, 0.0015]","[0.0537, 0.0017]","[0.0638, 0.0018]","[0.0297, 0.0013]","[0.1058, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,1,,40,1.0,,"[0.0413, 0.0011]","[0.0066, 0.0002]","[0.0055, 0.0002]","[0.0049, 0.0001]","[0.0086, 0.0004]","[0.0034, 0.0001]","[0.0132, 0.0008]","[0.0415, 0.0015]","[0.0515, 0.0017]","[0.0607, 0.0018]","[0.0276, 0.0012]","[0.1042, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,1,,80,1.0,,"[0.0453, 0.0012]","[0.0073, 0.0002]","[0.0062, 0.0002]","[0.0054, 0.0001]","[0.0099, 0.0004]","[0.0036, 0.0001]","[0.0156, 0.0009]","[0.0461, 0.0016]","[0.0572, 0.0017]","[0.0671, 0.0019]","[0.0317, 0.0013]","[0.1102, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,1,,40,1.0,,"[0.0399, 0.0011]","[0.0064, 0.0002]","[0.0054, 0.0002]","[0.0048, 0.0001]","[0.0083, 0.0003]","[0.0033, 0.0001]","[0.013, 0.0008]","[0.0399, 0.0015]","[0.0504, 0.0016]","[0.0597, 0.0018]","[0.0264, 0.0012]","[0.0999, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,3,,60,1.0,,"[0.0453, 0.0011]","[0.0074, 0.0002]","[0.0064, 0.0002]","[0.0057, 0.0001]","[0.0093, 0.0004]","[0.0037, 0.0001]","[0.0147, 0.0009]","[0.0477, 0.0016]","[0.0607, 0.0018]","[0.0713, 0.0019]","[0.0306, 0.0013]","[0.1123, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,0.0001,3,,60,1.0,,"[0.0424, 0.0011]","[0.007, 0.0002]","[0.0059, 0.0002]","[0.0052, 0.0001]","[0.0088, 0.0004]","[0.0034, 0.0001]","[0.0136, 0.0008]","[0.0451, 0.0016]","[0.0569, 0.0018]","[0.0661, 0.0019]","[0.0292, 0.0013]","[0.1045, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,5e-05,1,,80,1.0,,"[0.045, 0.0011]","[0.0074, 0.0002]","[0.0062, 0.0002]","[0.0054, 0.0001]","[0.0099, 0.0004]","[0.0036, 0.0001]","[0.0153, 0.0009]","[0.046, 0.0016]","[0.0572, 0.0017]","[0.0667, 0.0019]","[0.0315, 0.0013]","[0.1102, 0.0024]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,5e-05,1,,40,1.0,,"[0.0412, 0.0011]","[0.0065, 0.0002]","[0.0056, 0.0002]","[0.005, 0.0001]","[0.0087, 0.0004]","[0.0034, 0.0001]","[0.0135, 0.0008]","[0.0408, 0.0015]","[0.0522, 0.0017]","[0.0614, 0.0018]","[0.0279, 0.0012]","[0.1031, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,1,,80,1.0,,"[0.0434, 0.0011]","[0.007, 0.0002]","[0.0058, 0.0002]","[0.0052, 0.0001]","[0.0095, 0.0004]","[0.0035, 0.0001]","[0.015, 0.0009]","[0.0438, 0.0015]","[0.0542, 0.0017]","[0.0637, 0.0018]","[0.0303, 0.0013]","[0.1062, 0.0023]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,1,,60,1.0,,"[0.0465, 0.0012]","[0.0075, 0.0002]","[0.0063, 0.0002]","[0.0056, 0.0001]","[0.0101, 0.0004]","[0.0037, 0.0001]","[0.0158, 0.0009]","[0.0468, 0.0016]","[0.0587, 0.0018]","[0.0692, 0.0019]","[0.0323, 0.0013]","[0.114, 0.0024]"
